part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,product_types,brand,availability,product_url
Refrigerator Filter,PS16218782,FPPWFU01,,Very Easy ,Less than 15 mins ,Ice maker not making ice,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS16218782-Frigidaire-FPPWFU01-Filter.htm?SourceCode=18
Refrigerator Water Filter,PS3412266,WF3CB,,Very Easy ,15 - 30 mins ,Not dispensing water | Ice maker not making ice | Leaking | Ice maker dispenses too little ice,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS3412266-Frigidaire-WF3CB-Refrigerator-Water-Filter.htm?SourceCode=18
Refrigerator Air Filter,PS12586284,PAULTRA2,,Really Easy ,15 - 30 mins ,N/A,"Refrigerator, Freezer.",Frigidaire,In Stock,https://www.partselect.com/PS12586284-Frigidaire-PAULTRA2-Refrigerator-Air-Filter.htm?SourceCode=18
Refrigerator Air Filter,PS1993820,EAFCBF,,Really Easy ,Less than 15 mins ,Fridge too warm | Ice maker not making ice | Fridge too cold | Noisy,"Refrigerator, Freezer, Wine and Beverage Cooler.",Frigidaire,In Stock,https://www.partselect.com/PS1993820-Frigidaire-EAFCBF-Refrigerator-Air-Filter.htm?SourceCode=18
Refrigerator Water Filter,PS11722130,EDR4RXD1,,Easy ,15 - 30 mins ,Not dispensing water | Ice maker not making ice | Leaking | Ice maker dispenses too little ice,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18
Refrigerator Water Filter,PS16217433,XWFE,,Really Easy ,Less than 15 mins ,Not dispensing water | Ice maker not making ice,"Refrigerator, Freezer.",GE,In Stock,https://www.partselect.com/PS16217433-GE-XWFE-Refrigerator-Water-Filter.htm?SourceCode=18
Refrigerator Air Filter,PS2580853,W10311524,,Very Easy ,15 - 30 mins ,Fridge too cold | Fridge too warm | Ice maker not making ice | Noisy,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS2580853-Whirlpool-W10311524-Refrigerator-Air-Filter.htm?SourceCode=18
Refrigerator Water Filter,PS10063209,RPWFE,,Really Easy ,30 - 60 mins ,Not dispensing water | Ice maker not making ice,Refrigerator.,GE,In Stock,https://www.partselect.com/PS10063209-GE-RPWFE-Refrigerator-Water-Filter.htm?SourceCode=18
Refrigerator Ice Maker,PS11738120,W10873791,,Really Easy ,15 - 30 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11738120-Whirlpool-W10873791-Refrigerator-Ice-Maker.htm?SourceCode=18
Refrigerator Ice Maker Assembly,PS12364147,241798231,,Really Easy ,15 - 30 mins ,Ice maker not making ice | Ice maker won’t dispense ice | Won’t start | Noisy,"Refrigerator, Freezer, Ice Maker.",Frigidaire,In Stock,https://www.partselect.com/PS12364147-Frigidaire-241798231-Refrigerator-Ice-Maker-Assembly.htm?SourceCode=18
